Ano,D.Y,P/L,PEG RATIO,P/VP,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Ticker,Tipo
2013,"13,90%","-1,71","-0,03","0,19","-33,27","-9,00","-10,23","-2,77","219,83","0,09","-24,52","0,16","16,16","-0,16","0,43","-22,76","-6,16","0,46","0,53","1,01","11,68%","-1,55%","-5,72%","-9,23%","-11,15%","-5,16%","-4,96%","0,56",-%,-%,BDLL4,acoes
ATUAL,"4,87%","15,84","0,02","2,36","7,44","10,73","8,33","12,02","2,61","1,12","0,39","3,20","6,79","-1,54","-0,31","-1,11","-1,60","0,47","0,53","2,47","42,35%","38,37%","26,60%","20,19%","14,90%","7,05%","12,38%","0,35","13,09%",-%,STBP3,acoes
2021,"4,04%","20,42","-0,01","2,54","8,65","12,94","9,84","14,73","2,53","1,17","0,31","3,62","7,19","-1,62","-0,31","-1,19","-1,78","0,46","0,54","2,37","39,91%","36,76%","24,56%","17,71%","12,42%","5,72%","11,19%","0,32","13,09%",-%,STBP3,acoes
2020,"0,33%","-329,05",-,"2,16","18,36","65,36","21,37","76,06","2,43","1,07","-0,02","4,87","4,80","-1,51","-0,30","-3,01","-10,70","0,50","0,50","4,18","23,77%","22,80%","6,40%","-1,48%","-0,66%","-0,33%","2,20%","0,22","-0,73%",-%,STBP3,acoes
2019,"0,05%","354,95",-,"4,04","24,67","63,60","24,62","63,47","2,03","1,71","0,02","5,61","15,06","-2,10","0,01","0,05","0,13","0,42","0,58","2,54","25,71%","22,79%","8,84%","1,58%","1,14%","0,48%","4,27%","0,30","-0,62%","-30,01%",STBP3,acoes
2018,"0,07%","946,13","-6,07","2,10","14,73","42,72","14,87","43,12","2,01","0,99","0,00","3,06","25,60","-1,15","-0,02","-0,14","-0,40","0,47","0,53","1,37","26,83%","20,57%","7,09%","0,32%","0,22%","0,10%","3,84%","0,32","-7,72%","-58,93%",STBP3,acoes
2017,-%,"-424,36","5,24","1,70","13,49","70,29","13,72","71,48","2,00","0,82","-0,01","2,74","36,96","-0,96","-0,03","-0,23","-1,19","0,48","0,52","1,18","21,56%","19,97%","3,83%","-0,65%","-0,40%","-0,19%","0,37%","0,30","-8,62%",-%,STBP3,acoes
2016,-%,"-57,26","-2,54","1,15","10,02","50,76","9,80","49,60","2,09","0,84","-0,04","1,93","46,92","-1,01","0,03","0,23","1,16","0,51","0,49","1,02","19,98%","19,68%","3,89%","-3,37%","-2,01%","-1,02%","1,59%","0,30","-5,91%",-%,STBP3,acoes
2015,-%,-,-,-,-,-,-,-,"2,11",-,"-0,03",-,-,-,"0,08","0,52","3,08","0,52","0,48","1,37","29,21%","22,41%","3,81%","-2,36%","-1,62%","-0,84%","2,02%","0,36","2,19%",-%,STBP3,acoes
2014,-%,-,-,-,-,-,-,-,"2,15",-,"0,14",-,-,-,"0,10",-,"0,91","0,66","0,34","1,17","28,88%",-%,"15,21%","9,12%","6,41%","4,23%","6,55%","0,46","8,72%","7,05%",STBP3,acoes
2013,-%,-,-,-,-,-,-,-,"2,18",-,"0,38",-,-,-,"0,14","0,38","0,51","0,66","0,34","0,85","41,74%","38,33%","28,49%","18,52%","17,62%","11,56%","16,03%","0,62","13,63%","40,17%",STBP3,acoes
ATUAL,"7,65%","4,00","-0,31","1,06","4,42","5,31","2,01","2,42","7,97","0,25","2,11","0,29","0,87","-0,68","1,12","2,13","2,57","0,24","0,70","1,83","24,95%","14,34%","11,93%","7,21%","26,43%","6,24%","12,66%","0,87","28,12%",-%,RAPT3,acoes
2021,"5,21%","5,92","1,18","1,64","4,21","5,08","3,11","3,75","7,65","0,39","2,12","0,46","1,58","-0,99","0,72","1,37","1,65","0,24","0,69","1,66","25,04%","14,65%","12,15%","7,70%","27,69%","6,51%","13,54%","0,84","28,12%",-%,RAPT3,acoes
2020,"2,07%","6,09",-,"1,98","5,22","6,11","3,41","3,99","5,92","0,45","1,92","0,75","1,78","-1,10","0,56","0,97","1,13","0,23","0,70","1,75","25,18%","22,11%","18,92%","12,39%","32,46%","7,40%","9,99%","0,60","11,59%",-%,RAPT3,acoes
2019,"1,70%","13,15",-,"1,77","8,46","10,60","6,02","7,54","6,31","0,61","0,85","0,77","1,61","1,61","0,52","1,32","1,66","0,27","0,66","2,49","24,72%","13,09%","10,43%","4,86%","14,63%","3,91%","7,97%","0,80","6,15%","4,16%",RAPT3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,73","1,98","2,54","0,26","0,65","2,20","23,75%","13,13%","10,26%","3,56%","9,93%","2,60%","7,07%","0,73","0,04%","-8,38%",RAPT3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,39","1,80","2,91","0,29","0,62","1,96","23,73%","10,50%","6,50%","1,59%","3,26%","0,94%","3,44%","0,59","-3,46%","1,88%",RAPT3,acoes
2016,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,43","4,31","28,74","0,29","0,61","2,45","19,85%","5,44%","0,82%","-2,56%","-4,76%","-1,38%","0,21%","0,54","-8,79%",-%,RAPT3,acoes
2015,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,07","8,42","36,59","0,25","0,69","2,12","20,68%","5,22%","1,20%","-0,79%","-1,93%","-0,48%","0,68%","0,60","-3,58%",-%,RAPT3,acoes
2014,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,74","2,16","2,87","0,29","0,64","2,88","24,96%","12,98%","9,78%","5,34%","14,11%","4,14%","6,59%","0,78","8,88%","8,36%",RAPT3,acoes
2013,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,89","2,11","2,67","0,27","0,67","2,63","24,44%","13,26%","10,50%","5,53%","17,58%","4,79%","8,03%","0,87",-%,-%,RAPT3,acoes
ATUAL,"5,95%","20,39","-0,51","4,10","8,26","10,00","5,62","6,81","10,25","0,86","2,06","2,77","15,18","-1,09","1,91","2,63","3,18","0,21","0,79","1,39","48,85%","49,32%","40,74%","13,60%","20,09%","4,24%","16,41%","0,31","14,25%","1,65%",EGIE3,acoes
2021,"4,66%","20,04","-0,45","3,95","7,80","9,46","5,28","6,40","9,72","0,82","1,92","2,50","11,43","-1,06","1,89","2,52","3,06","0,21","0,79","1,47","47,14%","47,37%","39,06%","12,47%","19,72%","4,10%","16,54%","0,33","14,25%","0,21%",EGIE3,acoes
2020,"3,92%","12,82",-,"4,63","7,41","8,63","5,53","6,44","9,49","1,02","3,43","2,92","15,24","-1,31","1,58","1,89","2,19","0,22","0,78","1,44","44,57%","52,90%","45,43%","22,82%","36,14%","7,95%","19,10%","0,35","13,49%","13,27%",EGIE3,acoes
2019,"3,19%","17,94",-,"5,93","10,15","12,19","8,04","9,65","8,57","1,38","2,83","4,23","54,11","-1,77","1,56","2,11","2,54","0,23","0,77","1,13","42,34%","52,61%","43,81%","23,56%","33,02%","7,67%","16,17%","0,33","8,66%","10,81%",EGIE3,acoes
2018,"12,77%","9,31","0,60","3,41",-,"7,87",-,"5,88","9,68","0,91","3,55","2,45","55,78","-1,12","1,16",-,"1,99","0,27","0,73","1,09","44,56%",-%,"41,70%","26,32%","36,64%","9,75%","18,79%","0,37","9,57%","10,01%",EGIE3,acoes
2017,"7,65%","11,57","0,39","3,39",-,"9,83",-,"8,13","10,46","1,18","3,07","3,31","-11,94","-1,46","0,71",-,"1,69","0,35","0,65","0,66","42,88%",-%,"40,66%","28,58%","29,33%","10,24%","16,42%","0,36","7,37%","6,09%",EGIE3,acoes
2016,"5,63%","14,77","4,72","3,46",-,"9,96",-,"9,43","10,13","1,58","2,37","3,55","14,70","-2,06","0,19",-,"0,53","0,46","0,54","1,86","42,55%",-%,"37,59%","24,02%","23,40%","10,73%","19,61%","0,45","8,29%","1,34%",EGIE3,acoes
2015,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,28","0,74","0,74","0,43","0,57",-,"41,60%","38,45%","38,45%","23,04%","22,59%","9,81%","18,11%","0,43","9,69%","4,37%",EGIE3,acoes
2014,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,43","1,06","1,06","0,42","0,58",-,"38,59%","35,58%","35,58%","21,36%","24,45%","10,15%","17,81%","0,48","13,11%","4,85%",EGIE3,acoes
2013,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,42","0,95","0,95","0,42","0,58",-,"47,71%","42,87%","42,87%","25,79%","26,77%","11,35%","20,56%","0,44","10,37%","5,19%",EGIE3,acoes
ATUAL,-%,"5,81","-0,10","0,72","-8,85","-7,25","-3,86","-3,16","4,54","0,19","0,56","0,91","0,71","-0,35","0,91","-4,91","-4,03","0,26","0,74","2,38","25,98%","-23,54%","-28,74%","15,62%","12,31%","3,26%","-13,16%","0,21","-7,55%","-6,87%",LUPA3,acoes
2021,-%,"-3,75","0,01","1,07","-6,07","-5,39","-3,55","-3,16","4,98","0,31","-1,42","1,66","1,06","-0,57","0,76","-2,51","-2,24","0,29","0,71","2,71","26,98%","-46,62%","-52,42%","-44,19%","-28,50%","-8,22%","-18,14%","0,19","-7,55%",-%,LUPA3,acoes
2020,-%,"3,09",-,"0,45","11,88","28,36","4,47","10,67","5,34","0,13","0,78","1,16","0,53","-0,21","0,75","7,41","17,69","0,28","0,72","2,55","22,81%","26,04%","10,91%","37,70%","14,68%","4,18%","0,89%","0,11","-27,27%",-%,LUPA3,acoes
2019,-%,"-1,22",-,"0,32","-15,38","-8,46","-2,80","-1,54","6,00","0,06","-1,58","0,98","0,28","-0,10","1,44","-12,58","-6,92","0,20","0,80","2,69","0,06%","-34,77%","-63,25%","-80,11%","-26,29%","-5,19%","-8,38%","0,06","-38,92%",-%,LUPA3,acoes
2018,-%,"-0,29","0,00","0,33","-5,74","-3,54","-0,79","-0,48","5,59","0,05","-6,39","0,22","0,28","-0,08","2,06","-4,95","-3,05","0,15","0,77","1,78","15,11%","-27,84%","-45,17%","-76,42%","-114,30%","-16,62%","-21,79%","0,22","-22,07%",-%,LUPA3,acoes
2017,-%,"-4,96","0,04","0,24",-,"-19,81",-,"-2,81","12,09","0,05","-0,58","0,24","0,28","-0,08","1,45",-,"-17,01","0,20","0,76","1,77","-4,70%",-%,"-8,64%","-4,88%","-4,83%","-0,95%","-14,46%","0,20","-27,51%",-%,LUPA3,acoes
2016,-%,"1,62","-0,01","0,74","-6,18","-2,12","-1,23","-0,42","5,42","0,06","2,48","0,27","-2,58","-0,08","1,33","-4,96","-1,70","0,18","0,82","1,15","-22,07%","-22,29%","-65,01%","16,84%","20,27%","3,63%","-56,65%","0,22","-23,89%",-%,LUPA3,acoes
2015,-%,"-0,26","0,00","0,21","-0,69","-0,67","-0,07","-0,07","9,93","0,02","-8,00","0,07","0,81","-0,03","1,49","-0,62","-0,61","0,14","0,86","1,23","-3,81%","-101,62%","-104,29%","-28,01%","-66,23%","-9,23%","-118,82%","0,33","-12,24%",-%,LUPA3,acoes
2014,-%,"-0,01","0,00","0,08","-0,86","-1,24","-0,02","-0,04","0,83","0,01","-5,51","0,02","-0,29","-0,01","2,85","-0,83","-1,21","0,09","0,91","0,91","9,53%","-84,95%","-58,49%","-164,20%","-661,73%","-61,70%","-61,86%","0,38","-7,09%",-%,LUPA3,acoes
2013,-%,"-0,21","0,01","-0,14","-9,88","-5,59","-0,91","-0,51","-4,92","0,05","-3,31","0,18","-0,06","-0,07",-,"-8,97","-5,08","-0,39","1,39","0,21","7,95%","-19,45%","-34,37%","-86,03%","-67,22%","-26,48%","-73,16%","0,31","-8,98%",-%,LUPA3,acoes
ATUAL,-%,"0,08","0,00","-0,08","0,69","0,70","0,07","0,07","-7,40","0,07","7,03","4,05","-0,11","-0,07",-,"0,61","0,62","-0,88","1,88","0,10","33,66%","5.573,17%","5.523,07%","4.913,34%","-94,97%","83,37%","-313,35%","0,02","-18,75%",-%,INEP4,acoes
2021,-%,"0,19","0,00","-0,20","0,76","0,77","0,18","0,18","-7,56","0,17","7,72","10,25","-0,28","-0,18",-,"0,59","0,59","-0,84","1,84","0,12","35,20%","5.853,36%","5.810,08%","5.277,91%","-102,09%","85,40%","-339,00%","0,02","-18,75%",-%,INEP4,acoes
2020,-%,"-0,18",-,"-0,03","-3,37","-3,00","-0,30","-0,27","-313,28","0,05","-59,49","11,24","-0,04","-0,08",-,"-3,06","-2,72","-1,58","2,58","0,22","31,17%","-3.732,78%","-4.195,22%","-6.363,36%","-18,99%","-29,99%","19,57%","0,00","-55,72%",-%,INEP4,acoes
2019,-%,"-0,14",-,"-0,03","-2,39","-2,25","-0,21","-0,20","-252,97","0,04","-58,23","4,77","-0,03","-0,05",-,"-2,18","-2,06","-1,43","2,43","0,12","15,22%","-2.295,20%","-2.431,23%","-3.530,94%","-23,02%","-32,96%","23,55%","0,01","-53,72%",-%,INEP4,acoes
2018,-%,"-1,66","2,65","-0,33",-,"-4,81",-,"-2,19","-15,41","0,36","-3,10","10,86","-0,33","-0,43",-,-,"-2,55","-1,08","2,08","0,13","57,92%",-%,"-494,80%","-652,89%","-20,10%","-21,66%","25,23%","0,03","-46,05%",-%,INEP4,acoes
2017,-%,"-0,91","0,02","-0,23",-,"-6,54",-,"-2,04","-12,46","0,16","-3,12","7,38","-0,19","-0,23",-,-,"-4,49","-0,71","1,71","0,24","20,21%",-%,"-362,37%","-806,63%","-25,01%","-17,75%","22,95%","0,02","-49,45%",-%,INEP4,acoes
2016,-%,"-0,48","0,00","-0,32",-,"-2,29",-,"-0,76","-9,39","0,16","-6,20","4,46","-0,22","-0,22",-,-,"-1,44","-0,50","1,50","0,29","29,56%",-%,"-587,99%","-927,65%","-66,02%","-32,76%","111,55%","0,04","-46,26%",-%,INEP4,acoes
2015,-%,"-0,09","0,00","-0,05",-,"-2,62",-,"-0,08","-3,39","0,01","-2,02","0,04","-0,02","-0,01",-,-,"-2,53","-0,15","1,15","0,40","37,98%",-%,"-50,95%","-46,12%","-59,52%","-9,10%","-158,15%","0,20","-20,56%",-%,INEP4,acoes
2014,-%,"-0,02","0,00","-0,02",-,"-2,72",-,"-0,03","-10,65","0,01","-7,81","0,03","-0,01","-0,01",-,-,"-2,69","-0,41","1,41","0,22","-23,81%",-%,"-102,49%","-129,96%","-73,35%","-30,14%","-112,31%","0,23","-12,35%",-%,INEP4,acoes
2013,-%,"-0,22","0,00","0,88",-,"-11,36",-,"-0,58","1,00","0,03","-3,97","0,08","-0,12","-0,05","16,45",-,"-10,75","0,03","0,97","0,60","14,53%",-%,"-14,75%","-38,29%","-397,14%","-12,52%","-9,41%","0,33","0,96%",-%,INEP4,acoes
ATUAL,-%,"41,39","-0,46","1,18","6,15","13,24","4,44","9,56","20,95","0,59","0,60","1,70","-4,46","-0,67","0,49","1,83","3,95","0,50","0,50","0,48","19,03%","38,28%","17,77%","4,11%","2,85%","1,42%","7,31%","0,35","0,20%","-31,03%",GEPA4,acoes
2021,"8,88%","-355,20","3,51","1,64","8,58","20,37","6,39","15,16","20,20","0,79","-0,09","2,32","-5,39","-0,88","0,58","2,27","5,38","0,48","0,52","0,42","16,79%","36,32%","15,31%","-0,65%","-0,46%","-0,22%","5,76%","0,34","0,20%",-%,GEPA4,acoes
2020,"5,96%","5,89",-,"2,16","2,51","2,90","2,56","2,97","20,24","0,72","7,43","2,85","-4,19","-1,10","-0,02","-0,02","-0,03","0,33","0,67","0,67","97,03%","111,07%","95,99%","48,37%","36,71%","12,27%","36,51%","0,25","3,60%","30,90%",GEPA4,acoes
2019,"5,37%","18,21",-,"2,89","6,89","10,17","6,55","9,66","16,42","1,02","2,61","3,25","-10,42","-1,44","0,16","0,37","0,54","0,35","0,65","0,75","38,28%","49,58%","33,59%","17,82%","15,89%","5,58%","12,90%","0,31","2,48%","-2,91%",GEPA4,acoes
2018,"8,79%","14,08","2,85","2,20","5,65","8,08","5,15","7,35","17,32","0,76","2,71","2,73","-17,83","-1,02","0,33","0,76","1,09","0,37","0,63","0,86","41,38%","53,07%","37,14%","19,40%","15,65%","5,72%","12,72%","0,30","1,64%","-9,36%",GEPA4,acoes
2017,"9,80%","15,39","-0,47","2,22","6,83","10,65","6,07","9,48","17,94","0,83","2,58","2,58","-8,76","-1,12","0,30","0,83","1,29","0,38","0,62","0,73","31,83%","42,52%","27,24%","16,78%","14,40%","5,41%","10,09%","0,32","5,67%","-5,56%",GEPA4,acoes
2016,"10,29%","9,42","0,10","1,92","4,66","6,27","3,91","5,27","18,76","0,77","3,82","2,55","-10,67","-1,01","0,38","0,78","1,05","0,40","0,60","0,76","53,43%","65,13%","48,39%","27,08%","20,37%","8,23%","15,41%","0,30","6,83%","5,12%",GEPA4,acoes
2015,"5,21%","20,68","-0,57","2,08",-,-,"5,85","8,72","19,21","0,90","1,93","3,11","-38,76","-1,07","0,55","1,54","2,30","0,43","0,57","0,87","43,56%","53,12%","35,64%","15,02%","10,07%","4,37%","11,03%","0,29","7,12%","0,24%",GEPA4,acoes
2014,"8,42%","20,37","-0,64","3,11",-,-,"11,95","11,95","19,80","1,51","3,02","4,76","19,01","-1,64","0,56","2,17","2,17","0,49","0,51",-,"44,95%","39,81%","39,81%","23,35%","15,28%","7,43%","12,31%","0,32","9,40%","22,79%",GEPA4,acoes
2013,"5,76%","14,00","0,49","2,42","9,13","9,13","8,41","8,41","25,66","1,30","4,43","4,81","157,30","-1,58","0,21","0,72","0,72","0,54","0,46",-,"62,76%","57,25%","57,25%","34,39%","17,26%","9,27%","14,70%","0,27",-%,-%,GEPA4,acoes
ATUAL,"3,05%","14,21","-0,53","2,30","9,19","12,47","7,31","9,92","4,10","0,83","0,66","0,96","3,23","-1,73","0,55","1,76","2,39","0,36","0,64","1,95","28,50%","13,15%","9,69%","6,76%","16,19%","5,81%","12,08%","0,86","26,01%","22,73%",FRAS3,acoes
2021,"2,15%","14,35","1,18","2,74","9,91","13,24","8,24","11,01","5,08","0,98","0,97","1,17","3,85","-2,06","0,56","1,66","2,22","0,36","0,64","1,95","28,98%","14,24%","10,66%","8,18%","19,28%","6,85%","12,48%","0,84","26,01%","26,86%",FRAS3,acoes
2020,"1,73%","11,69",-,"2,33","8,45","11,10","6,98","9,17","4,34","0,76","0,87","1,32","3,50","-1,53","0,49","1,46","1,92","0,33","0,67","1,77","28,72%","18,87%","14,36%","11,27%","19,96%","6,52%","8,91%","0,58","13,81%","29,28%",FRAS3,acoes
2019,"5,24%","14,31",-,"0,69","4,30","6,63","3,21","4,95","8,25","0,33","0,40","0,39","1,36","-0,59","0,23","1,09","1,68","0,47","0,52","2,14","25,61%","12,04%","7,81%","2,70%","4,83%","2,28%","5,90%","0,84","12,30%","-3,90%",FRAS3,acoes
2018,"5,03%","4,56","0,10","0,53","3,09","4,06","2,32","3,05","8,72","0,28","1,01","0,37","1,04","-0,57","0,17","0,77","1,01","0,53","0,46","2,10","26,61%","16,10%","12,25%","8,18%","11,56%","6,11%","10,52%","0,75","9,73%","18,46%",FRAS3,acoes
2017,"5,53%","7,75","-23,05","0,64","2,23","3,64","4,66","7,61","8,43","0,37","0,69","0,60","1,11","-1,01","-0,33","-2,43","-3,97","0,58","0,42","2,07","26,08%","12,78%","7,83%","7,69%","8,20%","4,72%","4,57%","0,61","4,67%","20,96%",FRAS3,acoes
2016,"2,49%","8,40","0,36","0,70","2,15","3,18","4,37","6,46","6,18","0,45","0,51","0,66","0,97","-1,33","-0,36","-2,22","-3,28","0,64","0,36","3,31","28,55%","15,22%","10,29%","7,91%","8,33%","5,35%","6,01%","0,68","8,29%","7,86%",FRAS3,acoes
2015,"3,49%","9,11","0,57","1,10","5,23","7,92","3,88","5,87","3,46","0,49","0,42","0,54","1,93","-1,04","0,38","1,35","2,04","0,45","0,55","1,92","29,21%","13,99%","9,24%","5,96%","12,07%","5,37%","8,09%","0,90","11,42%","1,52%",FRAS3,acoes
2014,"2,67%","11,39","0,91","1,26","6,31","9,91","4,90","7,69","3,27","0,54","0,36","0,67","1,66","-1,20","0,36","1,42","2,22","0,43","0,57","2,49","26,76%","13,68%","8,71%","5,89%","11,03%","4,78%","6,66%","0,81","12,30%","2,32%",FRAS3,acoes
2013,-%,-,-,-,-,-,-,-,"3,86",-,"0,39",-,-,-,"0,44","1,65","2,56","0,42","0,58","2,88","27,22%","14,57%","9,40%","5,58%","10,13%","4,28%","7,14%","0,77",-%,-%,FRAS3,acoes
ATUAL,"4,55%","5,78","0,01","2,31",-,"5,40",-,"5,59","4,06","2,11","1,62","4,71","10,08","-2,75","-0,08",-,"-0,19","0,91","0,09","10,78","87,03%",-%,"84,24%","81,52%","39,98%","36,56%","39,43%","0,45","30,86%","48,28%",AFLT3,acoes
2021,"7,10%","5,61","0,01","2,26","5,25","5,26","5,42","5,42","3,92","2,03","1,58","4,65","11,09","-2,60","-0,07","-0,17","-0,17","0,90","0,10","5,86","88,64%","85,86%","85,80%","82,95%","40,32%","36,17%","39,86%","0,44","30,86%","47,52%",AFLT3,acoes
2020,"7,33%","33,25",-,"3,32","30,65","30,86","32,23","32,45","2,97","2,99","0,30","17,31","12,92","-4,07","-0,16","-1,58","-1,59","0,90","0,10","7,91","64,85%","53,72%","53,36%","52,07%","9,98%","9,00%","9,27%","0,17","5,56%","8,17%",AFLT3,acoes
2019,"0,95%","27,67",-,"3,26",-,"25,98",-,"28,00","3,40","3,10","0,40","18,10","9,82","-4,65","-0,24",-,"-2,02","0,95","0,05","18,09","66,32%",-%,"64,63%","65,40%","11,78%","11,19%","10,61%","0,17","2,20%","11,01%",AFLT3,acoes
2018,"3,25%","15,48","0,19","1,79",-,"14,01",-,"15,29","3,10","1,70","0,36","10,39","7,05","-2,28","-0,15",-,"-1,28","0,95","0,05","19,71","70,23%",-%,"67,99%","67,14%","11,55%","10,97%","10,73%","0,16","-0,84%","3,07%",AFLT3,acoes
2017,"13,97%","25,05","-2,02","6,98",-,"23,47",-,"24,75","0,71","5,72","0,20","13,26","6,19","-183,89","-0,36",-,"-1,28","0,82","0,18","21,59","55,91%",-%,"53,57%","52,93%","27,86%","22,84%","21,49%","0,43","-3,49%","-6,69%",AFLT3,acoes
2016,"14,17%","13,33","1,02","2,50",-,"7,50",-,"11,62","1,21","2,17","0,23","6,08","2,93","-10,17","-0,89",-,"-4,12","0,87","0,13",-,"54,79%",-%,"52,30%","45,57%","18,75%","16,31%","11,87%","0,36","-0,41%","-7,56%",AFLT3,acoes
2015,-%,-,-,-,-,-,-,-,"1,24",-,"0,20",-,-,-,"-1,03",-,"-7,17","0,88","0,12","10,47","43,80%",-%,"40,92%","46,08%","16,11%","14,13%","10,25%","0,31","-2,91%","-7,86%",AFLT3,acoes
2014,"7,77%","13,60","-0,59","2,66",-,"12,46",-,"14,18","1,22","2,43","0,24","5,88","3,49","-9,10","-0,32",-,"-1,72","0,91","0,09","20,07","49,18%",-%,"41,49%","43,25%","19,55%","17,85%","14,80%","0,41",-%,-%,AFLT3,acoes
2013,"4,08%","11,36","1,15","2,85",-,"10,20",-,"11,53","1,23","2,65","0,31","6,29","3,89","-9,29","-0,33",-,"-1,34","0,93","0,07","21,18","58,60%",-%,"54,51%","55,34%","25,08%","23,31%","21,27%","0,42",-%,-%,AFLT3,acoes
ATUAL,"4,44%","7,43","0,23","1,61","58,91","71,43","4,85","5,88","2,63","0,70","0,57","0,85","1,63","-1,96","0,45","1,37","1,66","0,43","0,57","2,97","22,21%","17,55%","14,47%","11,45%","21,64%","9,38%","13,79%","0,82","24,09%","46,02%",SHUL4,acoes
2021,"2,22%","7,80","0,22","1,65",-,-,"5,14","6,25","5,08","0,69","1,08","0,88","1,59","-1,99","0,53","1,65","2,00","0,42","0,58","2,96","22,24%","17,15%","14,10%","11,30%","21,21%","8,84%","12,49%","0,78","24,09%","44,44%",SHUL4,acoes
2020,"2,29%","8,50",-,"1,62",-,-,"6,46","8,39","8,31","0,68","1,59","1,15","1,84","-1,96","0,33","1,31","1,70","0,42","0,58","2,28","22,97%","17,75%","13,67%","13,49%","19,10%","7,96%","7,62%","0,59","10,16%","24,14%",SHUL4,acoes
2019,"2,62%","9,32",-,"1,46",-,-,"6,57","9,39","6,94","0,65","1,09","0,85","1,75","-1,68","0,35","1,59","2,27","0,44","0,56","2,51","21,77%","12,98%","9,09%","9,16%","15,67%","6,95%","6,93%","0,76","7,65%","12,44%",SHUL4,acoes
2018,"4,46%","6,35","0,08","0,83",-,-,"3,66","5,06","8,47","0,35","1,10","0,47","0,84","-0,97","0,40","1,77","2,45","0,42","0,58","2,76","23,78%","12,89%","9,30%","7,42%","12,99%","5,44%","8,31%","0,73","3,10%","2,69%",SHUL4,acoes
2017,"2,32%","10,96","0,35","0,90",-,-,"4,82","7,55","7,63","0,41","0,63","0,64","0,90","-1,19","0,23","1,23","1,93","0,45","0,55","3,26","23,14%","13,29%","8,48%","5,84%","8,23%","3,72%","5,13%","0,64","1,21%","-2,67%",SHUL4,acoes
2016,"3,10%","8,81","-0,24","0,59",-,-,"3,66","7,01","7,16","0,29","0,48","0,47","0,80","-0,76","0,20","1,26","2,42","0,49","0,51","2,41","23,15%","12,74%","6,65%","5,29%","6,71%","3,27%","4,22%","0,62","-3,78%","-8,98%",SHUL4,acoes
2015,"6,56%","5,15","-0,47","0,57","5,68","8,40","2,22","3,28","6,86","0,25","0,75","0,38","0,61","-0,65","0,38","1,48","2,19","0,44","0,56","2,85","27,71%","17,23%","11,65%","7,42%","10,99%","4,79%","6,91%","0,65","1,71%","0,18%",SHUL4,acoes
2014,"5,86%","6,18","-0,51","0,84",-,-,"2,75","3,84","6,25","0,33","0,85","0,46","0,95","-0,82","0,54","1,76","2,46","0,39","0,61","2,40","29,97%","16,59%","11,87%","7,37%","13,56%","5,34%","7,99%","0,72","14,70%","9,38%",SHUL4,acoes
2013,"1,14%","10,74","0,32","1,84",-,-,"4,19","5,30","5,62","0,69","0,96","0,81","1,89","-1,60","0,76","1,72","2,18","0,37","0,63","2,77","32,01%","19,40%","15,33%","7,57%","17,14%","6,42%","12,11%","0,85",-%,-%,SHUL4,acoes
ATUAL,-%,"-3,77","0,07","0,39","4,69","6,94","0,80","1,18","12,13","0,05","-1,24","0,05","-0,54","-0,12","1,78","3,69","5,46","0,14","0,85","0,84","14,56%","5,68%","3,84%","-1,20%","-10,20%","-1,44%","10,92%","1,20","13,54%",-%,CEDO4,acoes
2021,-%,"32,64","-0,31","0,38","4,25","6,04","0,79","1,12","13,27","0,06","0,15","0,05","-0,80","-0,12","1,56","3,27","4,64","0,16","0,82","0,87","15,67%","6,63%","4,67%","0,16%","1,15%","0,18%","11,82%","1,15","13,54%",-%,CEDO4,acoes
2020,-%,"-1,36",-,"0,43","14,95","249,16","2,97","49,43","13,11","0,08","-4,15","0,09","-4,58","-0,14","1,48","10,21","170,12","0,19","0,78","0,96","16,76%","3,07%","0,18%","-6,71%","-31,63%","-6,02%","0,15%","0,90","9,31%",-%,CEDO4,acoes
2019,-%,"-4,95",-,"0,50","8,49","19,47","2,41","5,53","17,26","0,12","-1,76","0,13","-8,33","-0,21","1,26","6,03","13,83","0,24","0,73","0,97","11,24%","5,32%","2,32%","-2,59%","-10,17%","-2,40%","1,46%","0,92","3,73%",-%,CEDO4,acoes
2018,-%,"1,23","-0,03","0,32",-,-,-,"0,95","19,02","0,08","4,86","0,09","5,08","-0,15","1,31",-,"3,94","0,27","0,70","1,04","11,48%",-%,"9,71%","7,48%","25,56%","6,94%","12,30%","0,93","2,14%","30,18%",CEDO4,acoes
